交易周期,上调幅度,年平均收益率,年平均标准差,无基准夏普比率,最大回撤
20,0.2,0.040558041991679034,0.04178443013881561,0.9706496380814029,-0.06742834227172438
20,0.4,0.041169004911361114,0.04262617502244375,0.9658151332997765,-0.07064324349314828
20,0.6,0.04168700731253916,0.04366056444010053,0.9547977184246217,-0.07390423954751704
20,0.8,0.04213617772550466,0.0448332238212569,0.939842691069798,-0.07910382945272341
20,1.0,0.04253222329186019,0.04610734075172736,0.9224609920767719,-0.08405659847311828
40,0.2,0.05458492874281746,0.04615998560028674,1.1825161562112443,-0.06705803637360305
40,0.4,0.05577793246031966,0.047758338225776076,1.1679202948107448,-0.06930090624303714
40,0.6,0.05681211467949996,0.04947436596251654,1.1483141536880483,-0.07152029106885863
40,0.8,0.05772540650129036,0.05126667132312911,1.1259831194705903,-0.07461865783402949
40,1.0,0.058542477800572916,0.053108690968083946,1.1023144561358977,-0.07865864361577793
60,0.2,0.047278553427896164,0.045098651969023594,1.0483362886405088,-0.09548558531487673
60,0.4,0.04770631900792499,0.046155691271935174,1.0335955912100632,-0.09283727436467325
60,0.6,0.04812908038667524,0.0474364527938197,1.0146011675001503,-0.09127957663568914
60,0.8,0.048537282541593604,0.048876372390890134,0.9930622950781893,-0.09047490019865916
60,1.0,0.04892433282933643,0.05043264916716133,0.9700924626658909,-0.09103152559606331
80,0.2,0.049325422531638,0.050594548032406005,0.9749157656284403,-0.10610747629689085
80,0.4,0.05195653767147872,0.05082828134093228,1.022197412558151,-0.09456606406932606
80,0.6,0.05439825436364225,0.05143064007763486,1.0577012901555913,-0.08560567946989049
80,0.8,0.05668150225897504,0.05229424755125067,1.0838955509097756,-0.07823117945969953
80,1.0,0.058829373748773055,0.05334864765241212,1.1027341148752272,-0.07443008707815454
100,0.2,0.06536231591044211,0.05168056209285291,1.2647369390643934,-0.06729029168130904
100,0.4,0.06701003483230403,0.05259368776929235,1.2741079333750178,-0.067522813360621
100,0.6,0.06856578652322573,0.05372737277448558,1.27617977545678,-0.06778016615683262
100,0.8,0.07002772545121762,0.055026757763634984,1.272612239885523,-0.07440556591811176
100,1.0,0.0713980477061413,0.056452400032164333,1.2647477815905352,-0.08246426321086718
120,0.2,0.06403073012018089,0.046028493767812206,1.3911106985855286,-0.06398772260598216
120,0.4,0.06536269935223118,0.04711355395451063,1.3873438504626625,-0.06340180434786713
120,0.6,0.06667890300033047,0.04834805533704895,1.379143432667387,-0.06285838930699299
120,0.8,0.06795968407348742,0.049693984839659006,1.3675635852661832,-0.06990366475503088
120,1.0,0.06919554272186981,0.05112384154292035,1.3534887174661474,-0.07767452945496943
