交易周期,上调幅度,年平均收益率,年平均标准差,无基准夏普比率,最大回撤
20,0.2,0.040116161691581435,0.041513879752886645,0.9663313072730086,-0.06467759090207098
20,0.4,0.0403649303106036,0.04203776836168941,0.9602063069406336,-0.06538553830260256
20,0.6,0.04058514511858545,0.04269872059751055,0.9505002620840043,-0.06625412539587837
20,0.8,0.040788419274866164,0.0434432206622506,0.9388903182840841,-0.06731941865083574
20,1.0,0.04098066207492339,0.0442386900929152,0.9263534247702876,-0.06978799831189313
40,0.2,0.05446493900861348,0.04527087904026984,1.2030899369143073,-0.06396098945186302
40,0.4,0.05543767581411265,0.04609709445533878,1.202628418756924,-0.06340160141974555
40,0.6,0.05619270193188719,0.04708533585034187,1.1934225575132897,-0.06299645419577773
40,0.8,0.05679160838058379,0.048158672018814956,1.1792602661135685,-0.06269726920787187
40,1.0,0.057273639001828996,0.04927302459904808,1.1623731132376127,-0.066146358524267
60,0.2,0.04679892458292059,0.04489945114482184,1.0423050480499652,-0.10214454436254532
60,0.4,0.04656337286476283,0.04569963779188689,1.0189002608031454,-0.10518976680629843
60,0.6,0.046228168917425955,0.04663555870310931,0.99126439573123,-0.10854908095749916
60,0.8,0.04583675184154749,0.04763626451410782,0.9622238920092613,-0.11202341747339284
60,1.0,0.04541537821511472,0.04866268447775704,0.9332690685379962,-0.11550158099847427
80,0.2,0.04926582839726999,0.05132240153641926,0.9599283533587202,-0.12070808717494311
80,0.4,0.05140657135527218,0.0519643710220516,0.9892657285018862,-0.12070808717494311
80,0.6,0.053091886609929126,0.05271982536708232,1.0070573307148911,-0.12070808717494311
80,0.8,0.054450618924761364,0.05353160378748096,1.017167711636828,-0.12070808717494311
80,1.0,0.05556723778137273,0.05436810168793259,1.022055875710413,-0.12070808717494311
100,0.2,0.0628769806044309,0.04969172238283826,1.2653411391138727,-0.06699845791801119
100,0.4,0.062149058968563174,0.0489218327062929,1.2703747086026242,-0.06685592373421516
100,0.6,0.06144439195898345,0.0485464589765063,1.2656822609599396,-0.06669757963324728
100,0.8,0.06076132105434993,0.048435668914983514,1.2544746963441542,-0.06653745036534271
100,1.0,0.06009918132114021,0.048506567761238996,1.2389905964273302,-0.068227907739737
120,0.2,0.06307919407247613,0.04655472847333189,1.3549470943345745,-0.06919047180221487
120,0.4,0.06338153905683534,0.048021623556670494,1.3198541482471653,-0.07287078273027858
120,0.6,0.06363084859681938,0.04947863182457662,1.2860268412921876,-0.07590703101028431
120,0.8,0.06383271644862065,0.050894980517647556,1.2542045561150574,-0.0784547722796052
120,1.0,0.06399371738171097,0.05225795076621409,1.2245738006068985,-0.08219639255826966
